,Date,Negative,Neutral,Positive
2023-05-25,2023-05-25,0.14321414813448008,0.6293719671666622,0.22741387331450438
2023-05-26,2023-05-26,0.14321414813448008,0.6293719671666622,0.22741387331450438
2023-05-27,2023-05-27,0.16169845641860245,0.5602966176443979,0.27800491710781655
2023-05-28,2023-05-28,0.1408333638508338,0.6225771486759186,0.23658949481323358
2023-05-29,2023-05-29,0.1099192065030752,0.7215997702739341,0.16848103002090242
2023-05-30,2023-05-30,0.1099192065030752,0.7215997702739341,0.16848103002090242
2023-05-31,2023-05-31,0.15589360472904845,0.7158616407634278,0.12824474110276293
2023-06-01,2023-06-01,0.11143121549013389,0.777939273796689,0.1106295080859966
2023-06-02,2023-06-02,0.2720851423262776,0.6280087924931409,0.0999060506352557
2023-06-03,2023-06-03,0.33638214920647436,0.6040958423167467,0.05952200827887277
2023-06-04,2023-06-04,0.12023844457697118,0.6577314236760139,0.2220301409065723
2023-06-05,2023-06-05,0.12023844457697118,0.6577314236760139,0.2220301409065723
2023-06-06,2023-06-06,0.34419770195276644,0.5076533574476462,0.14814893203528612
2023-06-07,2023-06-07,0.2846902669067136,0.5413243795625674,0.17398535179344407
2023-06-08,2023-06-08,0.19675672156938714,0.6478105581487003,0.15543270354037697
2023-06-09,2023-06-09,0.2169031374740289,0.6705198358021566,0.11257705097642737
2023-06-10,2023-06-10,0.2169031374740289,0.6705198358021566,0.11257705097642737
2023-06-11,2023-06-11,0.3633205053578738,0.5309908731800058,0.10568864345955456
2023-06-12,2023-06-12,0.3238615826103341,0.5595374796539545,0.11660092543388596
2023-06-13,2023-06-13,0.3238615826103341,0.5595374796539545,0.11660092543388596
2023-06-14,2023-06-14,0.3238615826103341,0.5595374796539545,0.11660092543388596
2023-06-15,2023-06-15,0.1966740284648646,0.6115441768067993,0.19178179681249372
2023-06-16,2023-06-16,0.28061690235562203,0.5354999426752329,0.1838831502400959
2023-06-17,2023-06-17,0.34662291531148776,0.5010436439821333,0.1523334445807625
2023-06-18,2023-06-18,0.27085667181139184,0.5061885951242099,0.2229547161712414
2023-06-19,2023-06-19,0.20798295093818858,0.6186117655252693,0.17340526165639011
2023-06-20,2023-06-20,0.1394235267472039,0.592634824787577,0.26794164240774176
2023-06-21,2023-06-21,0.09764190964321552,0.6231076368850839,0.2792504473022886
2023-06-22,2023-06-22,0.05122573028451625,0.7516994540180478,0.19707480525331836
2023-06-23,2023-06-23,0.15304245553601625,0.5415903931141071,0.30536714473327126
2023-06-24,2023-06-24,0.3376255332643631,0.43867722753435373,0.22369725328404452
2023-06-25,2023-06-25,0.12859605253130815,0.620861979573965,0.2505419716083755
2023-06-26,2023-06-26,0.17496157696363154,0.5306902765177,0.2943481339129786
2023-06-27,2023-06-27,0.08383354530628274,0.7040930738904853,0.21207338156007965
2023-06-28,2023-06-28,0.08601834478839812,0.6609604061684675,0.25302124171820833
2023-06-29,2023-06-29,0.20599336628897802,0.6432647209563483,0.15074190799121373
2023-06-30,2023-06-30,0.06974260456284831,0.66513968420708,0.2651176942026187
